"","species","Phylum","Class","Order","Family","records _GBIF_OBIS"
"72","Gersemia rubiformis","Cnidaria","Anthozoa","Alcyonacea","Nephtheidae",2994
"73","Geryon trispinosus","Arthropoda","Malacostraca","Decapoda","Geryonidae",77
"74","Gracilechinus acutus","Echinodermata","Echinoidea","Camarodonta","Echinidae",1422
"75","Halidrys siliquosa","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae",2456
"76","Halocynthia pyriformis","Chordata","Ascidiacea","Stolidobranchia","Pyuridae",321
"77","Hamacantha bowerbanki","Porifera","Demospongiae","Merliida","Hamacanthidae",2
"78","Hathrometra tenella","Echinodermata","Crinoidea","Comatulida","Antedonidae",11
"79","Heliometra glacialis","Echinodermata","Crinoidea","Comatulida","Antedonidae",864
"80","Hexadella dedritifera","Porifera","Demospongiae","Verongiida","Ianthellidae",20
"81","Hippasteria phrygiana","Echinodermata","Asteroidea","Valvatida","Goniasteridae",4504
"82","Hormathia digitata","Cnidaria","Anthozoa","Actiniaria","Hormathiidae",310
"83","Hormathia nodosa","Cnidaria","Anthozoa","Actiniaria","Hormathiidae",290
"84","Hymedesmia paupertas","Porifera","Demospongiae","Poecilosclerida","Hymedesmiidae",1059
"85","Hymenaster pellucidus","Echinodermata","Asteroidea","Velatida","Pterasteridae",414
"86","Hymenodiscus coronata","Echinodermata","Asteroidea","Brisingida","Brisingidae",31
"87","Icasterias panopla","Echinodermata","Asteroidea","Forcipulatida","Asteriidae",249
"88","Isidella lofotensis","Cnidaria","Anthozoa","Alcyonacea","Keratoisididae",34
"89","Isodictya palmata","Porifera","Demospongiae","Poecilosclerida","Isodictyidae",49
"90","Kinetoskias smitti","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae",2
"91","Kolga hyalina","Echinodermata","Holothuroidea","Elasipodida","Elpidiidae",20
"92","Kophobelemnon stelliferum","Cnidaria","Anthozoa","Pennatulacea","Kophobelemnidae",583
"93","Laminaria digitata","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae",2713
"94","Laminaria hyperborea","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae",4641
"95","Lanice conchilega","Annelida","Polychaeta","Terebellida","Terebellidae",13064
"96","Leptasterias muelleri","Echinodermata","Asteroidea","Forcipulatida","Asteriidae",554
"97","Leptychaster arcticus","Echinodermata","Asteroidea","Paxillosida","Astropectinidae",376
"98","Liponema multicorne","Cnidaria","Anthozoa","Actiniaria","Liponematidae",14
"99","Lissodendoryx complicata","Porifera","Demospongiae","Poecilosclerida","Coelosphaeridae",44
"100","Lithodes maja","Arthropoda","Malacostraca","Decapoda","Lithodidae",4040
"101","Lophaster furcifer","Echinodermata","Asteroidea","Valvatida","Solasteridae",339
"102","Desmophyllum pertusum","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae",1745
"103","Lucernaria bathyphila","Cnidaria","Staurozoa","Stauromedusae","Lucernariidae",14
"104","Luidia ciliaris","Echinodermata","Asteroidea","Paxillosida","Luidiidae",4400
"105","Madrepora oculata","Cnidaria","Anthozoa","Scleractinia","Oculinidae",601
"106","Marthasterias glacialis","Echinodermata","Asteroidea","Forcipulatida","Asteriidae",6412
"107","Maxmuelleria faex","Annelida","Polychaeta","Echiuroidea","Bonelliidae",1
"108","Mellonympha mortenseni","Porifera","Hexactinellida","Lyssacinosida","Rossellidae",9
"109","Membranoptera alata","Membranoptera alata","Florideophyceae","Ceramiales","Delesseriaceae",1234
"110","Mesothuria intestinalis","Echinodermata","Holothuroidea","Holothuriida","Mesothuriidae",149
"111","Metacallophyllis laciniata","Rhodophyta","Florideophyceae","Gigartinales","Kallymeniaceae",1015
"112","Modiolus modiolus","Mollusca",NA,"Mytilida","Mytilidae",2680
"113","Munidopsis serricornis","Arthropoda","Malacostraca","Decapoda","Munidopsidae",37
"114","Muriceides kuekenthali","Cnidaria","Anthozoa","Alcyonacea","Plexauridae",7
"115","Mycale lingua","Porifera","Demospongiae","Poecilosclerida","Mycalidae",303
"116","Myxicola infundibulum","Annelida","Polychaeta","Sabellida","Sabellidae",1208
"117","Nephrops norvegicus","Arthropoda","Malacostraca","Decapoda","Nephropidae",5275
"118","Neptunea despecta","Mollusca","Gastropoda","Neogastropoda","Buccinidae",477
"119","Oceanapia robusta","Porifera","Demospongiae","Haplosclerida","Phloeodictyidae",16
"120","Odonthalia dentata","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae",729
"121","Ophiocten gracilis","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae",238
"122","Ophiocten sericeum","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae",399
"123","Ophiopholis aculeata","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",4518
"124","Ophiopleura borealis","Echinodermata","Ophiuroidea","Ophiurida","Ophiopyrgidae",189
"125","Ophioscolex glacialis","Echinodermata","Ophiuroidea","Ophioscolecida","Ophioscolecidae",523
"126","Pachycerianthus multiplicatus","Cnidaria","Anthozoa","Spirularia","Cerianthidae",294
"127","Pagurus prideaux","Arthropoda","Malacostraca","Decapoda","Paguridae",4014
"128","Palmaria palmata","Rhodophyta","Florideophyceae","Palmariales","Palmariaceae",2495
"129","Paragorgia arborea","Cnidaria","Anthozoa","Alcyonacea","Paragorgiidae",899
"130","Paralithodes camtschaticus","Arthropoda","Malacostraca","Decapoda","Lithodidae",2423
"131","Paramuricea placomus","Cnidaria","Anthozoa","Alcyonacea","Plexauridae",88
